ID,ADRESS,CORD
121/100027,"UL. CHORZOWSKA 38, 41605, ŚWIĘTOCHŁOWICE","50.30604210000001, 18.9153124"
3101277,"UL. RUDOLFA WEIGLA 5, 50981, WROCŁAW","51.075292, 17.0234092"
3102562,"UL. GRUNWALDZKA 69, 50357, WROCŁAW","51.1145759, 17.0675628"
3102963,"UL. ZYGMUNTA KRASIŃSKIEGO 29, 50450, WROCŁAW","51.1068483, 17.0429089"
3201034,"UL. IGNACEGO PADEREWSKIEGO 10, 58301, WAŁBRZYCH","50.7717764, 16.2901185"
3402300,"UL. JANUSZA KORCZAKA 1, 58400, KAMIENNA GÓRA","50.7794734, 16.0649965"
150012232,"BOLESŁAWA KRZYWOUSTEGO 114, 61144, POZNAŃ","52.3624524, 16.9919945"
160000735,"ŁOPUSKIEGO 31-33, 78100, KOŁOBRZEG","54.1746383, 15.5676367"
160002270,"I-GO PUŁKU UŁANÓW 9, 76100, SŁAWNO","54.3692363, 16.6788111"
160004517,"KADŁUBKA 10-11, 71521, SZCZECIN","53.4477067, 14.5518137"
70604142,"PONIATOWSKIEGO 97, 05220, ZIELONKA","52.3131698, 21.1840932"
70604278,"BATOREGO 44, 05400, OTWOCK","52.0977547, 21.2628766"
120004,"UL. SZPITALNA 16, 98300, WIELUŃ","51.2125321, 18.5654386"
130001,"UL. STANISŁAWA RYBICKIEGO 1, 96100, SKIERNIEWICE","51.9630442, 20.1529562"
210843,"UL. WOJSKA POLSKIEGO 32/34, 95015, GŁOWNO","51.957096, 19.7332276"
210883,"UL. ALEJA T. KOŚCIUSZKI 93, 90436, ŁÓDŹ","51.7595418, 19.455117"
220338,"UL. MICKIEWICZA 16, 99200, PODDĘBICE","51.8888732, 18.9539462"
061/100009,"UL. PRĄDNICKA 35-37, 31202, KRAKÓW","50.083011, 19.9380646"
30002952,"DR. K. JACZEWSKIEGO 7, 20090, LUBLIN","51.2581169, 22.5676102"
020293,"UL. DOMAŃSKIEGO 2, 68200, ŻARY","51.6408619, 15.1482944"
102338,"UL. ALEJA NIEPODLEGŁOŚCI 1, 65048, ZIELONA GÓRA","51.9400956, 15.5069064"
102823,"UL. GÓRCZYŃSKA 17, 66400, GORZÓW WIELKOPOLSKI","52.7578105, 15.2583988"
110005,"UL. ALEKSANDROWSKA 159, 91229, ŁÓDŹ","51.8060984, 19.3554608"
110028,"UL. PÓŁNOCNA 42, 91425, ŁÓDŹ-BAŁUTY","51.7808742, 19.4744533"
20000732,"3-GO MAJA 2, 87500, RYPIN","53.0657106, 19.4094097"
20000776,"OKRZEI 66, 87800, WŁOCŁAWEK","52.6537663, 19.0608444"
20000803,"DR. LUDWIKA RYDYGIERA 15/17, 86300, GRUDZIĄDZ","53.4633563, 18.779971"
20001364,"MARKWARTA 4-6, 85015, BYDGOSZCZ","53.12642520000001, 18.011605"
20002493,"MICKIEWICZA 26, 89410, WIĘCBORK","53.3549583, 17.4917504"
20003629,"WOLNOŚCI 27, 87200, WĄBRZEŹNO","53.2759911, 18.9470531"
20003633,"UJEJSKIEGO 75, 85168, BYDGOSZCZ","53.1152037, 18.0259728"
061/100213,"UL. WYSOKIE BRZEGI 4, 32600, OŚWIĘCIM","50.0402764, 19.2345917"
063/100009,"UL. MŁYŃSKA 10, 33300, NOWY SĄCZ","49.6200093, 20.7003065"
065/100019,"UL. SZPITALNA 1, 33200, DĄBROWA TARNOWSKA","50.1769448, 20.9764687"
065/100186,"UL. LWOWSKA 178A, 33100, TARNÓW","50.0137423, 21.033301"
70000987,"ŻELAZNA 90, 01004, WARSZAWA","52.2408363, 20.9867023"
08R/20506,"UL. OLEŚNICKA 4, 46100, NAMYSŁÓW","51.0835216, 17.7081362"
09R/030868,"UL. IGNACEGO PADEREWSKIEGO 5, 37100, ŁAŃCUT","50.0665312, 22.2331869"
100000067,"WASZYNGTONA 17, 15274, BIAŁYSTOK","53.1238836, 23.1570897"
125/201542,"UL. ŁUBINOWA 3, 40647, KATOWICE","50.2060898, 18.9901412"
130000075,"KIELECKA1-3, 26020, CHMIELNIK","50.61415, 20.75212"
130000191,"CZERWONA GÓRA 10, 26060, CHĘCINY","50.822301, 20.4868533"
130002667,"ORLICH GNIAZD 8/13, 01493, BEMOWO","52.2507685, 20.9206413"
121/100089,"UL. ZIOŁOWA 45-47, 40635, KATOWICE","50.2112318, 18.9975604"
121/101004,"UL. CEGLANA 35, 40514, KATOWICE","50.2442254, 19.0166124"
121/200543,"UL. STEFANA OKRZEI 27, 43190, MIKOŁÓW","50.17015259999999, 18.9083703"
121/201285,"UL. KATOWICKA 11, 41600, ŚWIĘTOCHŁOWICE","50.29062889999999, 18.9191407"
121/211905,"UL. MORAWA 31, 40353, KATOWICE","50.2661424, 19.0921327"
121/213074,"UL. JULIUSZA LIGONIA 26/1, 40036, KATOWICE","50.2534296, 19.0208154"
122/202899,"UL. CYNIARSKA 24, 43300, BIELSKO-BIAŁA","49.8256658, 19.0493687"
125/100567,"UL. GABRIELI ZAPOLSKIEJ 3, 41218, SOSNOWIEC","50.2735987, 19.1982664"
140001688,"3 MAJA 17, 11600, WĘGORZEWO","54.2067036, 21.7356905"
140001759,"KARDYNAŁA WYSZYŃSKIEGO 11, 11200, BARTOSZYCE","54.2595067, 20.790954"
150000037,"MICKIEWICZA 95, 63100, ŚREM","52.084419, 17.0253334"
150001771,"28 CZERWCA 1956 NR 194, 61485, POZNAŃ","52.3832339, 16.9123789"
150003561,"DOJAZD 34, 60631, POZNAŃ-JEŻYCE","52.4361168, 16.9047444"
150003571,"MŁYŃSKA 2, 63700, KROTOSZYN","51.6904553, 17.4390053"
70001081,"UL. CEGŁOWSKA 80, 01809, WARSZAWA","52.286706, 20.9505855"
70001794,"JĘDRZEJA ŚNIADECKIEGO 2, 27300, LIPSKO","51.15999739999999, 21.6580728"
70060306,"ANDERSA 37, 00159, WARSZAWA","52.2530898, 20.9974284"
70061742,"K. E. N. 47/U15, 02797, WARSZAWA","52.1433091, 21.0531548"
100000361,"PLAC  Z. BRODOWICZA 1, 16070, CHOROSZCZ","53.1503334, 22.9823135"
000032,"UL. OBROŃCÓW WYBRZEŻA 4, 76200, SŁUPSK","54.4685443, 17.0443302"
000840,"UL. GEN. JÓZEFA HALLERA 31, 82500, KWIDZYN","53.7270203, 18.9208488"
001943,"UL. 1-GO MAJA 13A, 84100, PUCK","54.71804770000001, 18.4086339"
3101021,"UL. ARMII KRAJOWEJ 1, 56400, OLEŚNICA","51.208577, 17.3912734"
3122181,"UL. PIASTA 47C, 58304, WAŁBRZYCH","50.7816303, 16.2421685"
3302051,"UL. LEŚNA 8, 59300, LUBIN","51.38350579999999, 16.2035313"
3402014,"UL. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO 35, 59850, ŚWIERADÓW ZDRÓJ","50.9056626, 15.3359243"
150003627,"KWIATOWA 1, 62800, KALISZ","51.754397, 18.0935942"
150004979,"KRZYWA 13, 60118, POZNAŃ","52.3818127, 16.8866929"
150007370,"SŁOWIAŃSKA 41, 64100, LESZNO","51.842532, 16.5693117"
150008885,"LEGNICKA 48/F, 54202, WROCŁAW","51.116781, 16.9959327"
150009222,"LEGNICKA 48 BUD.F, 54202, WROCŁAW","51.116781, 16.9959327"
160001932,"WOJSKA POLSKIEGO 7, 72200, NOWOGARD","53.672556, 15.1105337"
160003961,"KILIŃSKIEGO 7/4-6, 78400, SZCZECINEK","53.7128465, 16.6780678"
70600123,"ZAMIANY 13, 02786, WARSZAWA","52.1604578, 21.0343211"
08R/10051,"UL. KLONOWA 1, 46300, OLESNO","50.8808223, 18.4129163"
08R/10066,"UL. ALEJA WINCENTEGO WITOSA 26, 45401, OPOLE","50.6767747, 17.97647"
200100,"UL. LEGNICKA 48/BUD. F, 54202, WROCŁAW","51.116781, 16.9959327"
209089,"UL. WOJSKA POLSKIEGO 77, 97300, PIOTRKÓW TRYBUNALSKI","51.4130205, 19.6868223"
020400,"UL. JANA DEKERTA 1, 66400, GORZÓW WIELKOPOLSKI","52.76156779999999, 15.236235"
020401,"UL. KS. KOSTKI 33, 67400, WSCHOWA","51.80462790000001, 16.3220614"
040184,"UL. KONSTYTUCJI 3 MAJA 35, 66300, MIĘDZYRZECZ","52.4402315, 15.5845665"
20000724,"RADZYŃSKA 4, 86320, ŁASIN","53.5175075, 19.0813025"
20000810,"POWSTAŃCÓW WARSZAWY 5, 85681, BYDGOSZCZ","53.1424365, 18.0136827"
20002221,"BYDG. BATAL. OBRONY NARODOWEJ 10A, 85825, BYDGOSZCZ","53.10350640000001, 18.0508651"
20002603,"WOJSKA POLSKIEGO 126, 86100, ŚWIECIE","53.414249, 18.4673735"
20004658,"PESTALOZZIEGO 7, 85095, BYDGOSZCZ","53.1224643, 18.0304541"
20100024,"SZEWSKA 23, 87140, CHEŁMŻA","53.1872744, 18.6104837"
30000100,"JACZEWSKIEGO 2, 20090, LUBLIN","51.25613749999999, 22.5627597"
30000101,"ALEJE RACŁAWICKIE 23, 20904, LUBLIN","51.2513289, 22.5340255"
061/100203,"UL. WIELICKA 265, 30663, KRAKÓW","50.0127455, 20.0002526"
061/200326,"UL. DOBREGO PASTERZA 207A, 31416, KRAKÓW","50.0902957, 19.9816786"
064/100016,"UL. OSWALDA BALZERA 15, 34500, ZAKOPANE","49.28638489999999, 19.9861091"
09R/010015,"UL. KSIĘDZA KARDYNAŁA STEFANA WYSZYŃSKIEGO 54, 39100, ROPCZYCE","50.0577184, 21.6156549"
09R/010024,"UL. 29 LISTOPADA 57, 38700, USTRZYKI DOLNE","49.43503949999999, 22.6036299"
09R/010040,"UL. KORCZYŃSKA 57, 38400, KROSNO","49.7024615, 21.7839768"
125/208218,"UL. LEGNICKA 48/F, 54202, WROCŁAW","51.116781, 16.9959327"
126/100549,"UL. NIEPODLEGŁOŚCI 8, 44190, KNURÓW","50.2214023, 18.6686282"
126/210944,"UL. TADEUSZA KOŚCIUSZKI 1, 44100, GLIWICE","50.2889028, 18.6605896"
130000898,"GEN. F. RZEWUSKIEGO 1, 28100, BUSKO-ZDRÓJ","50.4561698, 20.7211332"
130004676,"LEGNICKA 48/BUD. F, 54202, WROCŁAW","51.116781, 16.9959327"
140000480,"MICKIEWICZA 23, 13100, NIDZICA","53.35978619999999, 20.4328771"
140000753,"NIEPODLEGŁOŚCI 44, 10045, OLSZTYN","53.77035240000001, 20.4800408"
140000889,"WOJSKA POLSKIEGO 35, 10228, OLSZTYN","53.79508689999999, 20.4830318"
121/200602,"UL. GRABOWA 32, 40172, KATOWICE","50.2743457, 19.0296789"
121/208397,"UL. GOSPODARCZA 64, 40432, KATOWICE","50.2463039, 19.0745649"
122/207776,"UL. SANATORYJNA 1, 43450, USTROŃ","49.7246979, 18.8252108"
124/100085,"UL. GLIWICKA 33, 44201, RYBNIK","50.1041768, 18.5450695"
124/100448,"UL. ALEJA JANA PAWŁA II 7, 44330, JASTRZĘBIE-ZDRÓJ","49.94666710000001, 18.5837677"
124/214292,"UL. 26 MARCA 53 A, 44300, WODZISŁAW ŚLĄSKI","50.009029, 18.4611389"
140002199,"MICKIEWICZA 10, 13300, NOWE MIASTO LUBAWSKIE","53.4241403, 19.586364"
150000019,"POZNAŃSKA 30, 64300, NOWY TOMYŚL","52.3158651, 16.1385754"
150000066,"SZELIGOWSKIEGO 1, 62510, KONIN","52.2342538, 18.2538303"
150003180,"ADAMA WRZOSKA 1, 60663, POZNAŃ","52.4372342, 16.9064711"
150003183,"KOŚCIUSZKI 74, 62100, WĄGROWIEC","52.81790239999999, 17.2050819"
70001196,"CZERNIAKOWSKA 231, 00416, WARSZAWA","52.2295349, 21.0320719"
70001286,"W.K. ROENTGENA 5, 02781, WARSZAWA","52.1472807, 21.0320009"
70001454,"WITOSA 2, 06200, MAKÓW MAZOWIECKI","52.86168259999999, 21.0868109"
70001994,"HENRYKA SIENKIEWICZA 7, 09100, PŁOŃSK","52.63043010000001, 20.3769959"
70060856,"SZASERÓW 128, 04141, WARSZAWA","52.2505453, 21.0923913"
70100294,"NOWOGRODZKA 49, 00695, WARSZAWA","52.2274758, 21.0075684"
100003731,"ALEJA JÓZEFA PIŁSUDSKIEGO 31, 17100, BIELSK PODLASKI","52.7703178, 23.1827256"
001270,"UL. WILEŃSKA 6, 80215, GDAŃSK","54.3646772, 18.6087203"
001441,"UL. ŚLĄSKA 66C, 80389, GDAŃSK","54.4054365, 18.5849467"
3102189,"PL. STRZELECKI 24, 50224, WROCŁAW","51.1221374, 17.0268592"
3102923,"UL. INWALIDÓW WOJENNYCH 26, 56100, WOŁÓW","51.3405231, 16.6397605"
3301045,"UL. SZPITALNA 9, 59500, ZŁOTORYJA","51.12249449999999, 15.908169"
3402007,"UL. PIASKOWA 15, 59700, BOLESŁAWIEC","51.2629323, 15.5606036"
3402018,"UL. ZAWIDOWSKA 4, 59800, LUBAŃ","51.1166236, 15.2711866"
150005403,"KRASZEWSKIEGO 11, 62041, PUSZCZYKOWO","52.2633624, 16.8693801"
150007443,"POZNAŃSKA 125A, 63300, PLESZEW","51.89770679999999, 17.7653836"
160000731,"SZPITALNA 10, 74320, BARLINEK","52.9979942, 15.22397"
160000737,"STRZAŁOWSKA 22, 71730, SZCZECIN","53.4677212, 14.5924647"
160001208,"JAGIELLOŃSKA 44, 70382, SZCZECIN","53.4355175, 14.5256288"
160004558,"PLAC EUROPEJSKI 2, 00844, WARSZAWA","52.2326405, 20.9833746"
70603796,"B. LIMANOWSKIEGO 30/., 96300, ŻYRARDÓW","52.0594422, 20.4399095"
70605917,"KAROLA RYCHLIŃSKIEGO 1, 05091, ZĄBKI","52.2987781, 21.1116832"
08R/10017,"UL. MARII SKŁODOWSKIEJ-CURIE 26, 48100, GŁUBCZYCE","50.2040545, 17.8124651"
110076,"UL. WÓLCZAŃSKA 191/195, 90531, ŁÓDŹ","51.7516735, 19.4549149"
130005,"UL. WARSZAWSKA 14, 96200, RAWA MAZOWIECKA","51.7661417, 20.2592439"
210021,"UL. GEN. ROMUALDA TRAUGUTTA 57/59, 50417, WROCŁAW","51.1038783, 17.0491102"
210231,"UL. ROJNA 90, 91134, ŁÓDŹ","51.7953982, 19.361265"
210735,"UL. CIESIELSKA 8, 91308, ŁÓDŹ","51.7880404, 19.4469767"
220022,"UL. RYCERSKA 2, 98200, SIERADZ","51.5951604, 18.7376651"
240060,"UL. JANA PAWŁA II 35, 97200, TOMASZÓW MAZOWIECKI","51.5227675, 20.0062838"
30000417,"TEREBELSKA 57-65, 21500, BIAŁA PODLASKA","52.0468679, 23.1112776"
30005108,"LEONARDA 12, 20625, LUBLIN","51.2398985, 22.5138276"
30005166,"NOWOGRODZKA 49, 00695, WARSZAWA","52.2274758, 21.0075684"
30007413,"Władysława Kunickiego 181, 20451, Lublin","51.21140256360906, 22.584110495188245"
102567,"UL. WAZÓW 42, 65044, ZIELONA GÓRA","51.9419505, 15.5203207"
20000779,"KOŚCIUSZKI 10, 88300, MOGILNO","52.6575463, 17.9494285"
20002496,"RYNEK 3-5, 86300, GRUDZIĄDZ","53.49255840000001, 18.7483603"
061/100159,"UL. KOLEJOWA 1A, 32310, JAROSZOWIEC","50.344312, 19.6145587"
061/200704,"UL. ŚW. ŁAZARZA 14, 31530, KRAKÓW","50.06021819999999, 19.9515948"
063/200267,"UL. GRUNWALDZKA 30, 33300, NOWY SĄCZ","49.5988282, 20.6888738"
70000980,"KONSTYTUCJI 3 MAJA 17, 05250, RADZYMIN","52.4146025, 21.1903433"
70000985,"KASPRZAKA 17, 01211, WARSZAWA","52.2270719, 20.9714786"
70000988,"KOPERNIKA 43, 00328, WARSZAWA","52.2376994, 21.0189967"
09R/010019,"UL. 800-LECIA 26, 38500, SANOK","49.5537218, 22.2003934"
09R/010045,"UL. RZESZOWSKA 5, 36051, GÓRNO","50.2846261, 22.1331929"
09R/030777,"AL. MJR. WACŁAWA KOPISTO 2, 35315, RZESZÓW","50.0288644, 22.0125756"
09R/031010,"UL. OJCA ŚW. JANA PAWŁA II 218, 37710, ŻURAWICA","49.8231844, 22.7917666"
100000061,"PARKOWA 6, 15224, BIAŁYSTOK","53.12439000000001, 23.1695975"
100000077,"SZPITALNA 60, 16400, SUWAŁKI","54.1191531, 22.9255121"
126/100143,"UL. JANA ŚNIADECKIEGO 1, 42600, TARNOWSKIE GÓRY","50.4309252, 18.8065136"
130000121,"BOHATERÓW WARSZAWY 67, 28100, BUSKO-ZDRÓJ","50.4669621, 20.7046242"
140000530,"SIENKIEWICZA 2, 12200, PISZ","53.6263108, 21.8000759"
140001143,"M. C. SKŁODOWSKIEJ 2, 11400, KĘTRZYN","54.07657, 21.37504"
121/100358,"UL. BYTOMSKA 62, 41940, PIEKARY ŚLĄSKIE","50.3723191, 18.9445683"
121/208184,"UL. TADEUSZA KOŚCIUSZKI 92B, 40519, KATOWICE","50.24629729999999, 19.0124217"
121/212484,"UL. EDUKACJI 102, 43100, TYCHY","50.1126292, 19.0095447"
122/112476,"UL. WYZWOLENIA 18, 43300, BIELSKO-BIAŁA","49.8236875, 19.0584186"
123/210439,"UL. STEFANA OKRZEI 1A, 03715, WARSZAWA","52.2488549, 21.0298143"
140002426,"KRZYWA 13, 60118, POZNAŃ","52.3818127, 16.8866929"
150000011,"SZPITALNA 28, 77400, ZŁOTÓW","53.3542379, 17.0438231"
150000032,"SZPITALNA 45, 62504, KONIN","52.1945434, 18.2396714"
150000054,"AL. WOJSKA POLSKIEGO 43, 64920, PIŁA","53.152755, 16.7174268"
150001296,"GAJOWA 8, 62510, KONIN","52.2448077, 18.2735387"
150003181,"PRZYBYSZEWSKIEGO 49, 60355, POZNAŃ-GRUNWALD","52.4037048, 16.8874444"
70001086,"SPARTAŃSKA 1, 02637, WARSZAWA","52.1919839, 20.9954679"
70001273,"MADALIŃSKIEGO 25, 02544, WARSZAWA","52.2043348, 21.0170764"
70002137,"JULIUSZA SŁOWACKIEGO 32, 09200, SIERPC","52.8527262, 19.6756785"
70300168,"ŻEROMSKIEGO 64, 26600, RADOM","51.4001577, 21.1608628"
100004212,"PIASTA 9A, 15044, BIAŁYSTOK","53.134819, 23.1800521"
000519,"UL. KARTUSKA 4/6, 80104, GDAŃSK","54.3507541, 18.6353774"
000949,"UL. MAJEWSKICH 26, 80457, GDAŃSK","54.40093419999999, 18.6117746"
3102957,"UL. WROCŁAWSKA 2A, 52229, KOMOROWICE","51.018166, 17.001424"
3122225,"UL. BOLESŁAWA ULANOWSKIEGO 18/20, 53144, WROCŁAW","51.0820786, 17.0065436"
3302673,"UL. GEN. JÓZEFA BEMA 5-6, 59300, LUBIN","51.400893, 16.1992378"
3402443,"UL. BOHATERÓW GETTA 10, 58400, KAMIENNA GÓRA","50.7861522, 16.0267576"
150010778,"BITWY WARSZAWSKIEJ 1920 R. 18, 02366, WARSZAWA","52.2148908, 20.9667702"
160001177,"CHOPINA 29, 78200, BIAŁOGARD","54.0070157, 16.007898"
160002474,"LEGNICKA 48/BUD F, 54202, WROCŁAW","51.116781, 16.9959327"
160004109,"KRÓLOWEJ KORONY POLSKIEJ 26/1,1A,2A,3, 70480, SZCZECIN","53.4386136, 14.534153"
160006211,"WOLIŃSKA 7B, 72400, KAMIEŃ POMORSKI","53.9624789, 14.775154"
70600378,"SZAMOCKA 6, 01748, WARSZAWA","52.257589, 20.9596965"
70603008,"WYNALAZEK 4, 02677, WARSZAWA","52.17865399999999, 20.9950119"
70603562,"KONDRATOWICZA 8, 03242, WARSZAWA","52.2908084, 21.0445261"
70604226,"KRZYWA 13, 60118, POZNAŃ-GRUNWALD","52.3818127, 16.8866929"
200099,"UL. STEFANA OKRZEI 1A, 03715, WARSZAWA","52.2488549, 21.0298143"
210706,"UL. SZPARAGOWA 10, 91211, ŁÓDŹ","51.8037496, 19.3777189"
230085,"UL. 29 LISTOPADA 37, 99300, KUTNO","52.2348727, 19.350441"
061/100001,"UL. STRZELECKA 2, 31503, KRAKÓW","50.0632102, 19.9501601"
30005184,"KAZIMIERZA PRZERWY - TETMAJERA 21, 20362, LUBLIN","51.2265014, 22.59412"
30005404,"KRASIŃSKIEGO 8/4, 23210, KRAŚNIK","50.961102, 22.1608168"
30007097,"STEFANA OKRZEI 1A, 03715, WARSZAWA","52.2488549, 21.0298143"
102712,"UL. GABRIELA NARUTOWICZA 6, 66470, KOSTRZYN NAD ODRĄ","52.6078988, 14.6408671"
102803,"UL. NADODRZAŃSKA 6, 69100, SŁUBICE","52.35157340000001, 14.5566238"
20003404,"MODRZEWIOWA 15, 85631, BYDGOSZCZ","53.144546, 18.0289477"
20004215,"NAKIELSKA 327, 85391, BYDGOSZCZ","53.1338218, 17.9144064"
20004500,"WIENIECKA 49, 87800, WŁOCŁAWEK","52.6599158, 19.0330848"
30000097,"GRENADIERÓW 3, 20331, LUBLIN","51.2268021, 22.6135517"
30000099,"CICHA 14, 21100, LUBARTÓW","51.4564748, 22.6166437"
061/200294,"UL. SANATORYJNA 1, 43450, USTROŃ","49.7246979, 18.8252108"
065/100181,"UL. TADEUSZA KOŚCIUSZKI 68, 32800, BRZESKO","49.9689837, 20.5904331"
065/200018,"UL. SZPITALNA 1, 33170, TUCHÓW","49.8930867, 21.0608377"
70000964,"WOLSKA 37, 01201, WOLA","52.2336541, 20.9716064"
70001044,"SOBIESKIEGO 9, 02957, WARSZAWA","52.1721927, 21.0653134"
09R/010012,"UL. MARII SKŁODOWSKIEJ-CURIE 1A, 39460, NOWA DĘBA","50.42067830000001, 21.7555581"
09R/030797,"UL. KORCZYŃSKA 57, 38400, KROSNO","49.7024615, 21.7839768"
09R/031444,"UL. ŻOŁNIERZY WRZEŚNIA 7, 35306, RZESZÓW","50.0306137, 22.0199719"
130000115,"ŻEROMSKIEGO 28, 29100, WŁOSZCZOWA","50.8471831, 19.9738422"
130003050,"KOZIA 3A, 25514, KIELCE","50.87261489999999, 20.6310348"
121/101005,"UL. FRANCUSKA 20/24, 40027, KATOWICE","50.25450960000001, 19.0277397"
121/201354,"UL. SZOPIENICKA 59, 40431, KATOWICE","50.2463097, 19.079951"
121/212101,"UL. SZPITALNA 11, 41940, PIEKARY ŚLĄSKIE","50.3744862, 18.953486"
124/100443,"UL. ENERGETYKÓW 46, 44200, RYBNIK","50.1104528, 18.5210222"
125/100178,"UL. JÓZEFA CHEŁMOŃSKIEGO 28, 43600, JAWORZNO","50.2047659, 19.2848766"
140001522,"KOPERNIKA 30, 10513, OLSZTYN","53.78268010000001, 20.4919239"
140002277,"CYLICHOWSKA 13/15, 04769, WARSZAWA","52.1946474, 21.1423188"
140003057,"JAGIELLOŃSKA 78A, 10357, OLSZTYN","53.80672490000001, 20.5143298"
140005168,"GEN. JÓZEFA HALLERA 4 B, 10693, OLSZTYN","53.74004189999999, 20.4792349"
150002477,"PIASTÓW 16, 62300, WRZEŚNIA","52.3214941, 17.5878909"
70001297,"GĄSIOROWSKIEGO 12/14, 05510, KONSTANCIN-JEZIORNA","52.0765269, 21.1245042"
100001652,"SIENKIEWICZA 79, 15003, BIAŁYSTOK","53.1406423, 23.1714955"
100001743,"GRODZIEŃSKA 96, 19120, KNYSZYN","53.3196234, 22.921788"
100004801,"NOWOMIEJSKA 15/1, 16400, SUWAŁKI","54.1196064, 22.9401149"
000030,"UL. BOCZNA 10, 84150, HEL","54.6104316, 18.7999152"
000790,"UL. SOJOWA 22, 81589, GDYNIA","54.469792, 18.4693959"
001805,"UL. SANATORYJNA 1, 43450, USTROŃ","49.7246979, 18.8252108"
002148,"UL. DERDOWSKIEGO 23, 84230, RUMIA","54.5734615, 18.4001208"
120/211917,"UL. PODLEŚNA 61, 01673, WARSZAWA","52.2812496, 20.9621761"
150011055,"OGRODOWA 11 A, 62067, RAKONIEWICE","52.13878099999999, 16.2684734"
160000742,"ARKOŃSKA 4, 71455, SZCZECIN","53.45283449999999, 14.527669"
160000748,"NIEPODLEGŁOŚCI 44-48, 75252, KOSZALIN","54.19586390000001, 16.1753709"
08R/10081,"UL. OPOLSKA 36A, 47100, STRZELCE OPOLSKIE","50.5157701, 18.2915551"
209273,"UL. KRZYWA 13, 60118, POZNAŃ","52.3818127, 16.8866929"
210762,"UL. MIKOŁAJA KOPERNIKA 38, 90552, ŁÓDŹ-POLESIE","51.7604733, 19.4441203"
061/100012,"UL. DR. JÓZEFA BABIŃSKIEGO 29, 30393, KRAKÓW","50.0032106, 19.8813835"
061/100018,"ALEJA MODRZEWIOWA 22, 30224, KRAKÓW","50.063679, 19.8660259"
30000415,"KOŚCIELNA 136, 21200, PARCZEW","51.63406759999999, 22.9133891"
30000512,"CERAMICZNA 1, 22100, CHEŁM","51.1502078, 23.4581669"
30000550,"AL. JÓZEFA PIŁSUDSKIEGO 64, 22200, WŁODAWA","51.55736779999999, 23.5535349"
30002130,"ONYKSOWA 12, 20582, LUBLIN","51.2211268, 22.5007707"
30007635,"TADEUSZA SZELIGOWSKIEGO 15/95, 20883, LUBLIN","51.2645324, 22.5590736"
020300,"UL. ZYTY 26, 65046, ZIELONA GÓRA","51.9411274, 15.5176315"
040166,"UL. ZAMKOWA 1, 66200, ŚWIEBODZIN","52.2504382, 15.5349294"
040316,"UL. CHAŁUBIŃSKIEGO 7, 67100, NOWA SÓL","51.810005, 15.6962999"
100069,"UL. WOJSKA POLSKIEGO 52, 66235, TORZYM","52.31521499999999, 15.0611486"
100336,"UL. PIASTÓW 3, 66600, KROSNO ODRZAŃSKIE","52.0570411, 15.0988778"
102404,"UL. ZWYCIĘSTWA 1, 66100, SULECHÓW","52.0894465, 15.6223289"
110058,"UL. POMORSKA 251, 92213, ŁÓDŹ","51.7756913, 19.5065155"
20000769,"CHODKIEWICZA 44, 85667, BYDGOSZCZ","53.1309001, 18.0263548"
20000777,"POZNAŃSKA 97, 88100, INOWROCŁAW","52.7803581, 18.2635815"
20002410,"SŁOWACKIEGO 18, 87700, ALEKSANDRÓW KUJAWSKI","52.8741395, 18.6973873"
061/200233,"UL. LUDWIKA SOLSKIEGO 7C, 31216, KRAKÓW","50.08586810000001, 19.9457614"
064/100005,"UL. SZPITALNA 14, 34400, NOWY TARG","49.491183, 20.0326062"
064/100037,"UL. GŁADKIE 1, 34500, ZAKOPANE","49.297506, 19.9436955"
70000979,"NIEKŁAŃSKA 4/24, 03924, WARSZAWA","52.234333, 21.0625571"
70000991,"NOWOWIEJSKA 27, 00665, WARSZAWA","52.2195607, 21.0082825"
09R/010001,"UL. KS. JÓZEFA BIELAWSKIEGO 18, 36200, BRZOZÓW","49.6925765, 22.0248463"
09R/010011,"UL. TADEUSZA KOŚCIUSZKI 1, 37400, NISKO","50.5195115, 22.1435355"
09R/010021,"UL. STASZICA 4, 37450, STALOWA WOLA","50.5637313, 22.0677557"
09R/030655,"UL. KRZYWA 13, 60118, POZNAŃ-GRUNWALD","52.3818127, 16.8866929"
126/212018,"UL. ZAMKOWA 4, 41803, ZABRZE","50.325649, 18.8267682"
126/212109,"UL. PYSKOWICKA 47-51, 42612, TARNOWSKIE GÓRY","50.4400941, 18.8063335"
130000310,"JANA KILIŃSKIEGO 26, 27200, STARACHOWICE","51.0444738, 21.0831581"
130004894,"MAŁOGOSKA 25, 28300, JĘDRZEJÓW","50.6494688, 20.3025149"
121/213008,"UL. LEONA WYCZÓŁKOWSKIEGO 26/2, 41902, BYTOM","50.3465457, 18.9093972"
121/214551,"UL. BRYNOWSKA 44, 40650, KATOWICE","50.2354284, 18.9955033"
122/100333,"UL. JANA SOBIESKIEGO 83, 43300, BIELSKO-BIAŁA","49.8203354, 19.0292927"
122/200424,"UL. ZIELONKÓWKA 3, 43227, GRZAWA","49.9677242, 19.0458943"
122/207778,"UL. STANISŁAWA ŻÓŁKIEWSKIEGO 40, 43300, BIELSKO-BIAŁA","49.8264193, 19.023448"
