hospital_code;diag_code;drug_code;patient_count;is_suppressed
3101021;E75.2;5909990971213;;true
3101021;E75.2;5909990999514;;true
3101021;E75.2;5909990013654;;true
3101047;B18.2;5391507142108;20;false
3101047;B18.2;8054083015927;34;false
3101047;B18.2;08054083015927;39;false
3101047;B18.2;05391507142108;23;false
3101047;F33.1;05413868117400;;true
3101047;F33.1;NA;;true
3101047;F33.2;05413868117400;;true
3101054;C01;5909990894772;;true
3101054;C01;5909990662753;;true
3101054;C01;5909990744510;;true
3101054;C01;5909990958535;;true
3101054;C01;5909990333936;;true
3101054;C01;5909990851058;;true
3101054;C01;5909990055234;5;false
3101054;C02.0;5909990055234;;true
3101054;C02.0;5055565713846;;true
3101054;C02.0;5909990894772;;true
3101054;C02.1;5909990333936;;true
3101054;C02.1;5909990958535;;true
3101054;C02.1;5909990055234;;true
3101054;C02.4;5909990055234;;true
3101054;C02.4;5909990894772;;true
3101054;C02.8;5909990055234;;true
3101054;C02.8;5909990662753;;true
3101054;C02.8;5909990948994;;true
3101054;C02.8;5909990340330;;true
3101054;C02.9;5909990333936;;true
3101054;C02.9;5909990851058;;true
3101054;C02.9;5909990958535;;true
3101054;C02.9;5909990894772;;true
3101054;C02.9;5909990055234;7;false
3101054;C02.9;5909990662753;;true
3101054;C02.9;5909990055197;;true
3101054;C02.9;5055565713846;;true
3101054;C03.9;5909991220501;;true
3101054;C03.9;5909991220518;;true
3101054;C04.1;5909991220501;;true
3101054;C04.1;5909991220518;;true
3101054;C05.9;5055565713846;;true
3101054;C05.9;5909990894772;;true
3101054;C05.9;5909990055234;;true
3101054;C05.9;5909990340330;;true
3101054;C05.9;5909990958535;;true
3101054;C06;5909991412715;;true
3101054;C06;5909990035946;;true
3101054;C06.9;5909990035946;;true
3101054;C06.9;5055565713846;;true
3101054;C06.9;5909990240814;;true
3101054;C06.9;5909990894772;9;false
3101054;C06.9;5909990340330;;true
3101054;C06.9;5909990478019;;true
3101054;C06.9;5909991412715;;true
3101054;C06.9;5909990662753;9;false
3101054;C06.9;5909990958535;10;false
3101054;C06.9;5909990333936;5;false
3101054;C06.9;5909991220518;;true
3101054;C06.9;5909990055234;25;false
3101054;C06.9;5909991220501;;true
3101054;C06.9;5909991004699;;true
3101054;C06.9;5909990055197;;true
3101054;C06.9;5909991037093;5;false
3101054;C06.9;5909990648825;;true
3101054;C06.9;5901549325126;5;false
3101054;C07;5909990945016;;true
3101054;C07;5909990851058;;true
3101054;C07;5909990662753;;true
3101054;C07;5909990744510;;true
3101054;C07;5909990945115;;true
3101054;C07;5909990871049;;true
3101054;C07;5909990055234;6;false
3101054;C07;5909990333936;;true
3101054;C07;5909990958535;;true
3101054;C07;5909990614844;;true
3101054;C07;5909990478019;;true
3101054;C07;5909990055197;;true
3101054;C07;5909991412715;;true
3101054;C07;5909991314446;;true
3101054;C07;5909990894772;5;false
3101054;C07;5909991037093;;true
3101054;C08.0;5909990662753;;true
3101054;C08.0;5909991037093;;true
3101054;C08.0;5909990851058;;true
3101054;C08.0;5909990894772;;true
3101054;C08.0;5909990055234;;true
3101054;C08.9;5909990662753;;true
3101054;C08.9;5909990055234;;true
3101054;C09.0;5909990055197;;true
3101054;C09.0;5909990958535;;true
3101054;C09.0;5909990333936;;true
3101054;C09.0;5909991037093;;true
3101054;C09.0;5909990662753;;true
3101054;C09.0;5909990894772;5;false
3101054;C09.0;5909990478019;;true
3101054;C09.0;5055565748640;;true
3101054;C09.0;5901549325126;;true
3101054;C09.0;5055565713846;;true
3101054;C09.0;5909991412715;;true
3101054;C09.0;5909990994601;;true
3101054;C09.0;5909990055234;7;false
3101054;C09.1;5909990958535;;true
3101054;C09.1;5909990055234;;true
3101054;C09.8;5901549325126;;true
3101054;C09.8;5909990851058;;true
3101054;C09.8;5909990958535;;true
3101054;C09.8;5909990055234;7;false
3101054;C09.8;5909990340330;;true
3101054;C09.8;5909990894772;6;false
3101054;C09.9;5000456012058;;true
3101054;C09.9;5909990055234;26;false
3101054;C09.9;5909990894772;12;false
3101054;C09.9;5909990340330;;true
3101054;C09.9;5909990948994;;true
3101054;C09.9;5909990055197;;true
3101054;C09.9;5909991037093;;true
3101054;C09.9;5909990662753;7;false
3101054;C09.9;5909991220518;;true
3101054;C09.9;5909990958535;10;false
3101054;C09.9;5909990648825;;true
3101054;C09.9;5909991400576;;true
3101054;C09.9;5909990744510;;true
3101054;C09.9;5909991220501;;true
3101054;C09.9;5909990333936;;true
3101054;C09.9;5055565748640;;true
3101054;C09.9;5055565713846;7;false
3101054;C09.9;5901549325126;5;false
3101054;C09.9;5909990478019;;true
3101054;C09.9;5000456012065;;true
3101054;C09.9;5909990994601;;true
3101054;C09.9;5909991412715;;true
3101054;C10.8;5909990333936;;true
3101054;C10.8;5909990055234;;true
3101054;C10.8;5901549325126;;true
3101054;C10.9;5909991412715;;true
3101054;C10.9;5909990958535;;true
3101054;C10.9;5909990055234;;true
3101054;C10.9;5909990894772;;true
3101054;C10.9;5909990851058;;true
3101054;C11.0;5909990894772;;true
3101054;C11.0;5909990871049;;true
3101054;C11.0;5909990055234;;true
3101054;C11.0;5909990055197;;true
3101054;C11.8;5909990894772;;true
3101054;C11.8;5909990055234;;true
3101054;C11.8;5909990662753;;true
3101054;C11.8;5909990871049;;true
3101054;C11.9;5909991400576;;true
3101054;C11.9;5909990687848;;true
3101054;C11.9;5909990055234;5;false
3101054;C11.9;5909990744510;;true
3101054;C11.9;5909990958535;;true
3101054;C11.9;5909990871049;;true
3101054;C11.9;5909990994601;;true
3101054;C11.9;5909990478019;;true
3101054;C11.9;5909991412715;;true
3101054;C11.9;5055565713853;;true
3101054;C11.9;5909990662753;;true
3101054;C11.9;5909990894772;;true
3101054;C12;5909990055234;6;false
3101054;C12;5909990478019;;true
3101054;C12;5909990055197;;true
3101054;C12;5909990662753;;true
3101054;C12;5909990958535;;true
3101054;C12;5901549325126;;true
3101054;C12;5909990333936;;true
3101054;C12;5909990894772;;true
3101054;C13.0;5909990055234;;true
3101054;C13.0;5909991352547;;true
3101054;C13.0;5909990851058;;true
3101054;C13.0;5909990744510;;true
3101054;C13.0;5055565713846;;true
3101054;C13.0;5909990662753;;true
3101054;C13.0;5909990994601;;true
3101054;C13.0;5909990894772;;true
3101054;C13.0;5909990478019;;true
3101054;C13.0;5909991400576;;true
3101054;C13.8;5909990894772;;true
3101054;C13.8;5909990055234;;true
3101054;C13.8;5909990958535;;true
3101054;C13.9;5055565748640;;true
3101054;C13.9;5909990958535;;true
3101054;C13.9;5909990478019;;true
3101054;C13.9;5909990994601;;true
3101054;C13.9;5909990055234;7;false
3101054;C13.9;5055565713846;;true
